abash			당혹스럽게 하다, 얼떨떨하게 하다
morose			침울한(gloomy, sullen), 뿌루퉁한, 뚱한, 기분이 언짢은
mortify			억제하다, 극복하다, 굴욕감을 주다, 분하게 하다
mundane		        세속의, 현세의, 이승의, 보통의
munificent		인색하지 않은, 아낌없이 주는(lavish), 대범한
myopia			근시안; 선견지명이 부족한
myriad			무수한; 무수한 사람
narcissism		자기도취
nebulous		성운의, 흐린, 불투명한; 애매한, 막연한
nefarious		못된, 악당의, 불법적인
neologism		신어(new word), 신어 사용
nepotism		관직 임용의 친척, 친구 편중
nihilism		허무주의, 무정부주의
nominal			이름의, 이름을 나타내는, 이름뿐인; 액면의
nostalgia		향수; 과거의 동경(homesickness)
notorious		소문난, 이름난, 악명 높은
novel			신기한, 희한한; 새로운, 참신한
noxious			유해한, 해로운; 불건전한, 정신적으로 유해한
nuance			색조, 음영, 농담; 말뜻의 미묘한 차이
obdurate		고집센, 완고한, 냉혹한
obfuscate		마음을 어둡게 하다, 어지럽게 하다; 당황하게 하다, 난처하게 하다
oblique			비스듬한, 기울어진, 사선의; 굽은, 완곡한
oblivion		망각, 건망; 대사면
obscure			분명치 않은, 모호한; 눈에 띄지 않는, 컴컴한, 흐린, nebulous
obsequious		아첨하는, 알랑거리는
obtuse			무딘, 둔한, 머리가 우둔한
officious		참견하기 좋아하는, 부질없이 참견하는, 비공식의
onerous			성가신, 귀찮은
opaque			불투명한, 불분명한; 우둔한, 부전도성의
opulent			부유한, 풍부한
orthodox		전통의, 정통파의, 승인된; 전통적인, 인습적인
ostensible		외면상의, 겉치레의
ostentatious		자랑삼아 드러내는, 겉보기를 꾸미는; 허식적인, 화려한
pacify			달래다, 만족시키다, 진정시키다
painstaking		수고를 아끼지 않는, 근면한(=pains-taking = taking pains)
palliate		임시적으로 완화시키다, 꾸며서 말하다, 변명하다; 변형하다
palpable		만질 수 있는, 뚜렷한, 분명한, touchable; culpable=guilty
paltry			하찮은, 시시한, 무가치한, 얼마 안되는
panacea			만병 통치약
paradigm		모범, 보기; 어형 변화표
paradox			역설, 모순
parochial		편협한; 교구의, 지방의, provincial
parody			풍자 섞인 개작 시문, 서투른 모방
parsimonious		인색한(=stingy)
partisan		도당, 일당, 한 동아리
patent			명백한, 분명한(=obvious)
paternal		아버지의, 세습의
pathology		병리학
patriarch		가장, 족장; 원로, 장로; 로마 교황
patrician		귀족, 문벌가; 고대 로마 귀족
patronize		보호하다, 후원하다; 찬조하다
paucity			결핍, 부족(=scarcity), 소량, 소수
peccadillo		과오, 조그만 결점
pedantic		현학적인, 학자인 체하는
pedestrian		상상력이 없는(unimaginative), 평범한, 진부한(banal)
pejorative		가치를 떨어뜨리는(negative),비난하는(disparaging);cajole-감언으로 속이다
penchant		기호, 경향, 취미; nonchalant=indifferent
penitent		후회하는 참회하는, 죄를 뉘우치는(sorry, repentant, contrite)
pensive			생각에 잠긴, 애수를 띤
peremptory		단호한, 강압적인; 엄연한, 거만한; 독단적인, 단정적인(categorical)
perennial		다년생의, 여러해 계속하는(continual)
perfidy			불성실, 배반(treachery)
perfunctory		형식적인(careless;무관심한), 겉치레의(unenthusiastic), punctilious
peripatetic		순회하는(itinerant), 걸어다니는(wandering), 소요학파의
periphery		주의, 주변; 표면, 외면
perjury			위증, 거짓 맹세
permeate		스며들다, 침투하다, 퍼지다
pernicious		유해한; 파멸적인, 치명적인(deadly)
perquisite		부수입, 팁(=perk)
pertinent		적당한, 적절한, ...에 과한, 관련된(relevant)
perturb			교란하다, 혼란시키다
peruse			정독하다, 숙독하다
pervade			널리 퍼지다, 보급하다, 스며들다, 고루 미치다
petulant		잘 토라지는, 화를 잘 내는, 까다로운(cranky, rude)
philanthropy		박애, 자선; 자선 활동, 자선 사업
philistine		속물, 교양 없는 사람
pious			신앙심이 깊은, 경건한; 종교적인; 위선적인, 종교를 구실로 삼는
pivotal			축의, 중추적인, 중요한(crucial)
placate			회유하다, 달래다, 위로하다; 가라앉히다, 삭이다
plaintive		슬픈 듯한, 구슬픈, 불쌍한, 애처로운
platitude		진부한, 평범한; 단조; 진부한 말, 흔해 빠진 발언
plebian(plebeian)	보통의, 평범한; 속된(vulgar), 천한
plethora		과다, 과잉, +scarce
poignant		신랄한, 날카로운; 감동적인, 마음에 강하게 호소하는
polarize		극성을 주다, 양극화하다; 대립시키다, 분열하다
polemic			논쟁, 논법
ponderous		육중한(massive),  다루기에 불편한, 답답한, 지루한(dull), 장황한, 어색한
portent			전조; 징조; 경이적인 것(사람)
postulate		가정, 선결 조건, 기본 원리, 필요조건; 원리, 이치
pragmatic		실용적인, 실용주의의
precedent		선례, 관례, 판례
precept			교훈, 격언(maxim); 법칙, 영장, 명령서
precipitate		갑자기 빠뜨리다, 곤두박질치게 하다, 촉진시키다, 재촉하다
precipitous		가파른, 험한(steep); 황급한, 허둥대는
preclude		제외시키다, 배제하다; 방해하다, 가로막다
precursor		선임자, 선배, 선구자, 선각자
predilection		편애, 역성
preeminent		탁월한, 발군의, 현저한, 출중한
preempt			선매권에 의해 얻다
premise			전제, 전술한 사항, 근거; 토지, 부동산; surmise-짐작하다,추측하다.
prepossess		선입관을 가지게 하다; 좋은 이상을 주다, 호감을 가지게 하다
prerogative		특권, 특전; 우선 투표권
prevail			우세하다, 널리 보급하다; 유력하다, 압도하다, prevalent
pristine		원시적인, 옛날의, 원래의, 순박한
prodigal		풍부한, 남아도는; 낭비하는, 방탕한
prodigious		거대한, 막대한; 비범한, 유별난, 비상한
prodigy			경이, 비상한 일, 이상한 조짐, 전조
profane			모독적인 신성을 더럽히는; 세속의, 야비한
profess			공언하다, 단언하다, 주장하다; 속이다
proficient		숙달된, 유창한, 능숙한
profligate		방탕한, 낭비하는
profound		깊은, 뿌리 깊은; 심원한, 해박한, 난해한
profuse			아낌없는, 마음이 후한; 풍부한, 많은; 과다한
proletariat		무산계급, 최하층민
proliferate		증식하다, 확산하다
prolific		다산의, 비옥한, 다작의, 풍부한
promulgate		공포하다, 터뜨리다, 널리 펴다, 선전하다, 보급하다
propensity		경향, 성향, 성벽, 성질, penchant
propitious		순조로운, 상서로운, 자비로운; 좋은, 호의를 가진
proponent		옹호자, 지지자; 제안가, 제의자
proprietary		소유가의, 독점의, 점매 특허의; 재산 있는
propriety		타당, 정당; 예의바른, 교양
prosaic			산문적인, 평범한, 지루한, prose
proscribe		금지하다, 배척하다, 추방하다; 인권을 박탈하다
proselytize		개종시키다, 전향시키다
protagonist		주인공, 주역, 주창자
protract		오래 끌게 하다, 연장하다, 뻗다, 내밀다(prolong)
provident		신중한, 선견지명이 있는; 검소한
provincial		편협한; 지방의, 시골의; 옹졸한, 투박한
provisional		잠정적인, 일시적인, 임시의
proximity		근접, 인접, 가까운
prudent			신중한, 현명한, 검약하는, 빈틈없는
purported		의미하다, 뜻하다; ~라고 칭하다, 주장하다
putative		추정의, 상상의, 소문에 들리는
qualify			제한하다, 한정하다, 완화하다; 자격을 주다, 권한을 부여하다
qualitative		질적인, 질에 관한
querulous		불평을 하는, 투덜거리는; 성마른
quixotic		공상가의, 비실행적인
ramification		결과, 귀추; 가지, 분기, 분리; 세부화
rancor			원한, 증오, 유감
rapacious		강탈하는, 약탈하는, 욕심많은
rebuke			비난하다, 억제하다
rebut			논박하다, 반증하다; refute-반박하다
recalcitrant		반항하는, 고집센, 완강한
recant			신앙이나 주장 등을 바꾸다, 취소하다, 철회하다
reciprocal		상호간의(mutual), 호혜적인, 보복의, 보답의
reclusive		세상을 버린, 은둔한, 쓸쓸한, recluse
recondite		심오한, 난해한, 알기 어려운
recrimination		서로 책망함, 빈소, 전가, 맞고소
redolent		향기로운(fragrant); indolent-게으른
redundant		여분의, 과다한, 장황한
refute			논박하다, 반박하다
reiterate		되풀이하다, 반복하다
relegate		내쫓다, 추방하다, 물리치다			
relentless		냉혹한, 잔인한, 사정없는
relinquish		포기하다, 단념하다, 손을 떼다, 그만두다, renounce
remonstrate		항의하다, 이의를 말하다, 간언하다
renaissance		부활, 신생, 부흥
renounce		포기하다 단념하다, 중지하다
reparation		보상, 배상; 수리, 수선
repercussion		되튀기, 반사, 반향, 반동, 반격
replenish		다시 채우다, 새로 보충하다
replete			가득찬, 충만한; 포식한, 배부른, 포만한
reprehensible		비난할 만한, 꾸짖을 만한, 괘씸한; apprehensible, comprehensible
reprisal		보복, 앙갚음, 복수; 실력 행사
reproach		비난하다, 나무라다, 꾸짖다; 체면을 손상시키다
reprove			비난하다, 꾸짖다, 타이르다, 야단치다
repudiate		거부하다, 거절하다, 부인하다
requisite		필요한, 필수적인, 필수의
resolute		굳게 결심한, 굳은, 단호한, 확고한; resolution-분해,분석,해결
respite			연기, 일시적 중단, 유예; 휴식기간
reticent		과묵한, 입이 무거운, 삼가는
revere			존경하다, 숭배하다
rhetoric		수사학, 웅변술, 미사여구, 작문법
rigorous		엄격한, 호된, 엄한; 엄밀한, 정확한
robust			건강한, 튼튼한, 강건한, 건전한
rogue			건달, 깡패; 개구장이, 부당한
rudimentary		기본의, 초보의; 미숙한, 원형의
ruminate		반추하다, 심사 숙고하다, deliberate, cogitate
rustic			시골풍의(rural), 시골의, 소박한, 단순한
saccharine		달콤한, 설탕 같은
sacrilege		신성 모독의
sacrosanct		신성한, 신성 불가침의
sagacious		현명한, 기민한, 총명한
salient			두드러진, 현저한; 돌출한, 원기 왕성한
salutary		건전한, 유익한
sanctimonious		경건한 체하는
sanguine		붉은 빛을 띤, 다혈질의, 혈색이 좋은, 쾌활한, 살벌한
sardonic		냉소하는, 빈정대는
scintillate		불꽃을 내다, 재치가 번득이다
scrupulous		빈틈없는, 면밀한; 양심적인, 지조있는, 신중한
scrutinize		자세히 조사하다, 속속들이 알아보다
secular			세속의
sedition		반역죄(treason); 치안 방해죄, 동란 교사죄, treacher
sensory			지각 기관의, 감각을 전달하는; precurser-선조, cursory-겉모습의
sentient		지각 있는, ...을 느낄 수 있는
sequester		은퇴시키다, 고립시키다; 몰수하다, 가압류하다
serendipity		뜻밖의 발견, 재수 좋게 찾아 낸 것, contingent
servile			노예 근성의, 비굴한
singular		보통이 아닌, 뛰어난; 유일한(unique), 유례없는
slander			중상하다, 명예를 훼손하다
sloth			게으름
sobriety		절주, 절제, 제정신, 온건
solicitous		간절히 ...하려 하는, 갈망하는; 염려하는, 걱정하는, solicitude, solicit
solvent			지급 능력이 있는, 감정을 누그러지게 하는
soporific		최면에 걸린, 졸리게 하는
sordid			지저분한(filthy, squalid),  누추한, 탐욕스런, 야비한(vile)
spawn			산란하다, 대량 생산하다
specious		허울 좋은, 그럴듯한, 겉만 번드레한
sporadic		때때로 일어나는, 드문드문한, 산발성의
spurious		가짜의(false, fake); auspices-후원,길조
squalor			불결함, 더러움; 천함, 야비함
squander		헛되이 쓰다, 탕진하다, 낭비하다, 분산시키다
stagnation		침체, 불경기
static			정적인, 정지된, 정지 상태의
staunch			견고한, 튼튼한; 믿음직한, 완고한, 확고부동한(steadfast)
steadfast		충실한(loyal, faithful), 확고부동한, 불변의
stigmatize		비난하다, 오명을 씌우다, 낙인을 찍다
stipulate		규정하다, 조건으로 요구(규명)하다
stoic			스토익학파의; 금욕/극기주의
stratum			지층, 사회의 계층(layer, level)
stricture		구속, 협착; 혹평
strife			투쟁, 쟁의, 불화, 반목, 싸움
stringent		엄중한, 절박한, 그럴듯한; contingent-불시의,우연의, astringent
stymie			방해하다, 방해구로 방해하다
subjugate		정복하다, 가라앉히다
sublime			장엄한(lofty), 탁월한, 고상한, 두려움(awesome)
subordinate		종속하는, 부수하는; 아래의, 하위의
substantive		현실의, 독립의; 명사의, 실질적인; substance, substantial, substantiate, substantival, substantion-변전소
subtle			미묘한, 예민한, 교활한, 교묘한
subversive		파괴적인, 전복하는
succinct		간결한
succumb		        죽다, 쓰러지다; 굴복하다, 지다
supercilious		거드름을 피우는, 거만한
superficial		표면적인, 외면의; 피상적인, 허울뿐인; 영향이 적은
superfluous		남아도는, 불필요한
surfeit			과식, 과음, 포만
surreptitious		은밀한, 부정한, 간교한
surrogate		대리의, 대용의, substitute
sycophant		아첨꾼
synthesis		통합, 종합; 합성
tacit			무언의, 암묵적인, 암시하는(implied)
taciturn		말없는, 입이 무거운, 무뚝뚝한
tangential		접선의, 접하는; 탈선적인, 주제를 벗어난, digress
tangible			만질 수 있는(touchable, palpable), 만져서 알 수 있는, 명백한, 확실한
tantamount		동등한, 상당하는
tautological		동의어의, 중언부언의; 과다한(redundant)
temerity		boldness; recklessness; audacity
temperate		기온이 온화한(mild), 온건한, 절제하는
tenable			공격에 견딜 수 있는, 지지 받을 수 있는, 유리할 수 있는
tenacious		고집센(persistent), 몹시 집착하는, 완고한(stubborn)
tenet			종교나 정치 혹은 철학 따위의 주의
tentative		잠정적인, 시험적인, 임시의; 주저하는, 머뭇거리는
tenuous			얇은, 희박한, 가는; extenuate-경감하다
terse			간결한(succinct)
theology		신학, 종교 심리학
tirade			장광설, 신랄한 연설
torpor			무감각, 둔한, 동면
touchstone		금이나 은의 순도를 판별하는 시금석, 표준
tout			...을 극구 칭찬하다, ...에 대해 말하다; 성가시게 권유하다, 조르다, 염탐하다; rout-완패,참패
transcend		초월하다, 능가하다, 우수하다
transgress		범하다, 어기다(violate)
transient		일시적인, 변하기 쉬운
trepidation		공포(fear), 전율, 놀람, 당황
turpitude		비열, 타락, 비열한 행위
ubiquitous		어디에나 있는, 편재하는
unconscionable		불합리한, 터무니없는, 비양심적인
unctuous		기름 같은, 매끈한, 아주 감동한 체하는, 상냥한
uniform			일정한, 균일한(consistent, unchanging)
unremitting		간단없는, 끈질긴
unwitting		무의식의, 생각나지 않는, inconscious
urbane			도시풍의, 점잖은, 세련된
usurp			권력이나 지위를 빼앗다, 찬탈하다, 침해하다
utilitarian		공리적인, 실용적인, 공리주의의
utopia			an ideal society
vacillate		흔들리다, 동요하다; 주저하다, 망설이다
vapid			맛없는, 김빠진, 지루한, tepid, insipid
vehement		열심인, 열렬한, 열정적인, 맹렬한; coherent-밀착한, adherent-지지자
venal			돈으로 좌우할 수 있는, 매수할 수 있는, 매수되기 쉬운; 타락한, 부패한
venerate		존경하다, 공경하다
veracity		진실, 성실, 정직, verity
verbose			말이 많은, 장광설의, 장황한
verisimilitude		진실인 듯한, 있을 법한, 진짜인 것처럼 보이는, 박진성
vernacular		everyday speech; slang; idiom
vestige			자취, 흔적, 퇴화
vex			초조하게 하다, 괴롭히다
viable			생존할 수 있는, 자랄 수 있는
vicarious		대리직의, 대리의, 대리하는, 대신의, surrogate
vicissitude		변화, 부침, 흥망; 변하기 쉬움
vilify			헐뜯다, 중상하다; 타락시키다
vindicate		변호하다, 옹호하다, 진실을 밝히다, 명예를 회복하다; 논박하다
vindictive		앙심을 품은, 복수심을 품은
virtuoso		예술의 거장(대가), 미술에 정통한 사람, 미술품 감정가
virulent		독이 있는, 악의가 있는; 심술궂은, 악성(유독성)의
visionary		공상가, 환상을 쫓는 사람
vitiate			...의 가치를 떨어뜨리다, 손상시키다, 해치다; 무효로 하다
vitriolic		신랄한, 통렬한
vocation		소명, 성직, 천직, 직업; 적성, 소질
vociferous		큰 소리로 고함치는, 시끄러운
volatile		휘발하는, 휘발성의; 변덕스러운, 불안정한; 경박한, 민활한, 쾌활한
volition		의지, 결단력, 의욕
wanton			방자한, 무엄한, 이유가 없는, 터무니없는, 변덕스러운
willful			계획적인, 고의의, 고집센
wistful			탐내는, 동경하는, 생각에 잠긴
zealous			열광적인, 열광하는
